author ,title ,summary ,images ,source ,date ,link
Blank,Warne returns to big stage,Champion leg spinner Shane Warne has signed on to play with Melbourne Stars in the inaugural Big Bash League Twenty20 tournament at the end of the year.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 12:22:00 +1100,http://www.abc.net.au/news/2011-11-08/warne-joins-big-bash-league/3652074
Blank,Williams apologises to Tiger for slur,Tiger Woods says he was hurt by a racist slur from his former caddie Steve Williams who referred to him as a &quot;black arsehole&quot;.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 13:09:00 +1100,http://www.abc.net.au/news/2011-11-08/williams-apologises-to-tiger-for-slur/3652150
Blank,Thorpe bombs out in Beijing,In a sobering reality check Ian Thorpe has failed to qualify for the 100 metres freestyle final at the FINA World Cup short course meet in Beijing.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 13:04:00 +1100,http://www.abc.net.au/news/2011-11-08/thorpe-bombs-out-in-beijing/3652516
Blank,Ponting takes aim at 'underdone' Proteas,Ricky Ponting believes South Africa could suffer from a lack of first-class preparation in the opening Test in Cape Town on Wednesday.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 11:31:00 +1100,http://www.abc.net.au/news/2011-11-08/ponting-targets-underdone-proteas/3651722
Blank,T-Rex charged over high shot,Tony Williams is likely to miss Australia's Four Nations clash with Wales this weekend after being charged with a high tackle on England back rower Ben Westwood.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 07:57:00 +1100,http://www.abc.net.au/news/2011-11-08/williams-charged-over-high-shot/3651384
Blank,Teen knocks off Parko in final,Australian Joel Parkinson has lost the final of the Rip Curl Pro Search to rising Brazilian teenage sensation Gabriel Medina in San Francisco.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 10:45:00 +1100,http://www.abc.net.au/news/2011-11-08/teen-knocks-off-parko-in-final/3652022
Blank,Rugby returns to Christchurch,A 17000-seat temporary stadium will host rugby union matches including an All Blacks v Ireland Test in earthquake-hit Christchurch next year Prime Minister John Key said.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 12:00:00 +1100,http://www.abc.net.au/news/2011-11-08/rugby-returns-to-christchurch/3652266
Blank,Bangkok floods force Socceroos switch,Australia's World Cup qualifier against Thailand next week has been moved to another stadium in Bangkok because of flooding in the city Football Federation Australia said.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 12:57:00 +1100,http://www.abc.net.au/news/2011-11-08/bangkok-floods-force-socceroos-switch/3652414
Blank,Pakistan shines on pitch with series win,Pakistan highlighted its talent on the pitch to draw the third and final Test against Sri Lanka in Sharjah and win the series 1-0 just days after three former team-mates were jailed for spot-fixing.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 08:50:00 +1100,http://www.abc.net.au/news/2011-11-08/pakistan-shines-on-the-pitch-with-series-win/3651402
Blank,Sammy and Bishoo spark India collapse,Darren Sammy and Devendra Bishoo shared five wickets to trigger India's collapse on the second day of the opening Test against the West Indies in New Delhi.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 07:32:00 +1100,http://www.abc.net.au/news/2011-11-08/sammy-and-bishoo-spark-india-collapse/3651430
Blank,O'Driscoll out of Six Nations,Ireland rugby captain Brian O'Driscoll has been ruled out of action for up to six months and will miss his country's Six Nations campaign when the annual tournament kicks off in February.,Blank,ABC News: Sport News ,Tue 08 Nov 2011 08:17:00 +1100,http://www.abc.net.au/news/2011-11-08/odriscoll-out-of-six-nations/3651584
Blank,Federer charges to fifth Basel title,Roger Federer has returned to winning mode 10 months after his last title as the home tennis hero schooled Japanese wild card Kei Nishikori 6-1 6-3 to win a fifth Swiss Indoors title in Basel.,Blank,ABC News: Sport News ,Mon 07 Nov 2011 09:09:00 +1100,http://www.abc.net.au/news/2011-11-07/federer-charges-to-fifth-basel-title/3638806
Blank,Lucky Spurs hold off Fulham,Tottenham Hotspur has survived a late onslaught to earn a somewhat fortunate 3-1 win at London rival Fulham and remain fifth in the English Premier League standings.,Blank,ABC News: Sport News ,Mon 07 Nov 2011 08:26:00 +1100,http://www.abc.net.au/news/2011-11-07/lucky-spurs-hold-off-fulham/3638724
Blank,Czechs take out Fed Cup,Doubles duo Lucie Hradecka and Kveta Peschke sealed a 3-2 victory for the Czech Republic in the Fed Cup final against Russia in Moscow.,Blank,ABC News: Sport News ,Mon 07 Nov 2011 09:34:00 +1100,http://www.abc.net.au/news/2011-11-07/czechs-take-out-fed-cup/3638866
Blank,David wins record sixth squash world title,Malaysian squash superstar Nicol David has won a record sixth women's World Open title overtaking Australia's Sarah Fitz-Gerald.,Blank,ABC News: Sport News ,Mon 07 Nov 2011 14:07:00 +1100,http://www.abc.net.au/news/2011-11-07/david-wins-record-sixth-squash-world-title/3639612
