author ,title ,summary ,images ,source ,date ,link ,document_type ,section_name ,subsection_name ,word_count ,header ,footer
Blank ,Donald Trump is not cornering his rivals on immigration. They are choosing to take the low road with him. ,Blank ,Blank ,The New York Times ,2015-08-20T00:00:00Z ,http://www.nytimes.com/2015/08/20/opinion/gop-candidates-follow-trump-to-the-bottom-on-immigration.html ,article ,Opinion ,Blank ,680 ,G.O.P. Candidates Follow Trump to the Bottom on Immigration ,By THE EDITORIAL BOARD
Blank ,The challenge for Mr. Walker is whether by repositioning himself not only as a slayer of Democrats but also of his own party’s establishment he can recapture voter support in the state. ,Blank ,Blank ,The New York Times ,2015-08-20T00:00:00Z ,http://www.nytimes.com/2015/08/20/us/politics/momentum-slipping-away-in-iowa-scott-walker-adopts-a-trump-like-stance.html ,article ,U.S. ,Politics ,1159 ,Momentum Slipping Away in Iowa Scott Walker Adopts a Trump-Like Stance ,By TRIP GABRIEL and JONATHAN MARTIN
Blank ,From fashion icons to political powerhouses a fund-raiser hosted by Ronald O. Perelman gathered an eclectic philanthropic crowd. ,Blank ,Blank ,The New York Times ,2015-08-20T00:00:00Z ,http://www.nytimes.com/2015/08/20/style/apollo-theater-a-variety-show-in-the-hamptons.html ,article ,Style ,Blank ,501 ,A Variety Show for the Apollo in the Hamptons ,By JACOB BERNSTEIN
Blank ,Mr. Pataki one of the 17 Republican contenders spends a lot of time reminding people that he used to be governor of New York. ,Blank ,Blank ,The New York Times ,2015-08-20T00:00:00Z ,http://www.nytimes.com/2015/08/20/nyregion/george-pataki-in-presidential-bid-fights-to-jog-voters-memories.html ,article ,N.Y. / Region ,Blank ,1431 ,George Pataki in Presidential Bid Fights to Jog Voters’ Memories ,By ALEXANDER BURNS
Blank ,A court hearing has been set for Virginia ex-first lady Maureen McDonnell's appeal of her corruption conviction. ,Blank ,Blank ,AP ,2015-08-19T22:32:10Z ,http://www.nytimes.com/aponline/2015/08/19/us/ap-us-former-first-lady-trial.html ,article ,U.S. ,Blank ,118 ,Date Set for Ex-First Lady's Appeal of Corruption Conviction ,By THE ASSOCIATED PRESS
Blank ,Excerpts from recent editorials in newspapers in the United States and abroad: ,Blank ,Blank ,AP ,2015-08-19T17:56:37Z ,http://www.nytimes.com/aponline/2015/08/19/us/ap-us-editorial-rdp.html ,article ,U.S. ,Blank ,3220 ,Editorial Roundup: Excerpts From Recent Editorials ,By THE ASSOCIATED PRESS
Blank ,Why the Donald’s rise need not spell doom for Republican policy reform. ,Why the Donald’s rise need not spell doom for Republican policy reform. ,Blank ,The New York Times ,2015-08-19T15:58:12Z ,http://douthat.blogs.nytimes.com/2015/08/19/how-trump-might-help-reform-conservatism/ ,blogpost ,Opinion ,Blank ,1282 ,How Trump Might Help Reform Conservatives ,By ROSS DOUTHAT
Blank ,The superficial but important reason why having Trump on stage might actually hurt Jeb. ,The superficial but important reason why having Trump on stage might actually hurt Jeb. ,Blank ,The New York Times ,2015-08-19T10:36:53Z ,http://douthat.blogs.nytimes.com/2015/08/19/trump-and-the-charisma-premium/ ,blogpost ,Opinion ,Blank ,781 ,Trump and the Charisma Premium ,By ROSS DOUTHAT
Blank ,Nevada with its mix of rural and urban areas a diverse population and lingering economic problems is viewed as a good early-state indicator. ,Hillary Rodham Clinton is turning to Nevada as presidential election litmus test with its quickly diversifying population and persistent economic problems; state's demographics reflect other potential Western election battlegrounds. ,Blank ,The New York Times ,2015-08-19T00:00:00Z ,http://www.nytimes.com/2015/08/19/us/politics/hillary-clinton-turns-to-nevada-as-a-general-election-litmus-test.html ,article ,U.S. ,Politics ,978 ,Hillary Clinton Turns to Nevada as a General Election Litmus Test ,By AMY CHOZICK
Blank ,Several of Donald J. Trump’s rivals are matching his anti-immigrant language which could again cost the Republicans with Hispanic voters. ,Blank ,Blank ,The New York Times ,2015-08-19T00:00:00Z ,http://www.nytimes.com/2015/08/19/us/politics/with-tough-immigration-talk-gop-again-risks-losing-latinos.html ,article ,U.S. ,Politics ,1203 ,Donald Trump Paints Republicans Into Corner With Hispanics ,By TRIP GABRIEL and JULIA PRESTON
